no,code,name
880,10960,삼호개발
881,46390,삼화네트웍스
882,4450,삼화왕관
883,9470,삼화전기
884,11230,삼화전자공업
885,1820,삼화콘덴서공업
886,390,삼화페인트공업
887,27580,상보
888,38540,상상인
889,307870,상상인이안1호스팩
890,329560,상상인이안제2호스팩
891,101000,상상인인더스트리
892,1290,상상인증권
893,41650,상신브레이크
894,91580,상신이디피
895,263810,상신전자
896,89980,상아프론테크
897,42940,상지카일룸
898,42600,새로닉스
899,75180,새론오토모티브
900,263540,샘코
901,7540,샘표
902,248170,샘표식품
903,294630,서남
904,38070,서린바이오
905,6730,서부T&D
906,79650,서산
907,100660,서암기계공업
908,7860,서연
909,200880,서연이화
910,19770,서연탑메탈
911,17390,서울도시가스
912,43710,서울리거
913,92190,서울바이오시스
914,46890,서울반도체
915,4410,서울식품공업
916,63170,서울옥션
917,27040,서울전자통신
918,18680,서울제약
919,21050,서원
920,93920,서원인텍
921,189860,서전기전
922,178320,서진시스템
923,122690,서진오토모티브
924,140070,서플러스글로벌
925,11370,서한
926,65710,서호전기
927,8490,서흥
928,35890,서희건설
929,3100,선광
930,123420,선데이토즈
931,7610,선도전기
932,67370,선바이오
933,171090,선익시스템
934,136490,선진
935,2820,선창산업
936,14620,성광벤드
937,37350,성도이엔지
938,14910,성문전자
939,3080,성보화학
940,4980,성신양회
941,11300,성안
942,81580,성우전자
943,45300,성우테크론
944,15750,성우하이텍
945,180,성창기업지주
946,80470,성창오토텍
947,43260,성호전자
948,148150,세경하이테크
949,2420,세기상사
950,53060,세동
951,17510,세명전기
952,214310,세미콘라이트
953,4360,세방
954,4490,세방전지
955,11560,세보엠이씨
956,1430,세아베스틸
957,306200,세아제강
958,3030,세아제강지주
959,19440,세아특수강
960,58650,세아홀딩스
961,13000,세우글로벌
962,100700,세운메디칼
963,234100,세원
964,24830,세원물산
965,91090,세원셀론텍
966,21820,세원정공
967,67830,세이브존I&C
968,33530,세종공업
969,258830,세종메디칼
970,36630,세종텔레콤
971,39310,세중
972,75580,세진중공업
973,67770,세진티에스
974,53450,세코닉스
975,234340,세틀뱅크
976,27970,세하
977,145210,세화아이엠씨
978,252500,세화피앤씨
979,308170,센트랄모텍
980,51980,센트럴바이오
981,49180,셀루메드
982,299660,셀리드
983,268600,셀리버리
984,108860,셀바스AI
985,208370,셀바스헬스케어
986,258250,셀젠텍
987,68270,셀트리온
988,68760,셀트리온제약
989,91990,셀트리온헬스케어
990,53110,소리바다
991,950200,소마젠
992,32680,소프트센
993,258790,소프트캠프
994,66910,손오공
995,43100,솔고바이오
996,154040,솔루에타
997,35610,솔본
998,357780,솔브레인
999,36830,솔브레인홀딩스
1000,304100,솔트룩스
1001,230980,솔트웍스
1002,4430,송원산업
1003,86980,쇼박스
1004,50960,수산아이앤티
1005,17550,수산중공업
1006,84180,수성
1007,253840,수젠텍
1008,185190,수프로
1009,58530,슈펙스비앤피
1010,236200,슈프리마
1011,317770,슈프리마아이디
1012,94840,슈프리마에이치큐
1013,192440,슈피겐코리아
1014,99440,스맥
1015,33790,스카이문스테크놀로지
1016,131100,스카이이앤엠
1017,159910,스킨앤스킨
1018,158310,스타모빌리티
1019,115570,스타플렉스
1020,258540,스템랩
